Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
27-March-2017,96.50,96.90,92.60,95.00,95.139162561576354679,3248,72,309012.00,2769,85.25,4.30,-1.50
24-March-2017,95.90,105.60,95.00,95.80,96.544341230908395087,28743,165,2774974.00,21029,73.16,10.60,-0.10
23-March-2017,97.30,97.70,95.85,96.00,96.740380332362514990,29185,69,2823368.00,28880,98.95,1.85,-1.30
22-March-2017,98.10,98.10,95.00,95.25,96.116655313351498637,5872,117,564397.00,4538,77.28,3.10,-2.85
21-March-2017,98.20,101.00,98.20,99.90,99.949865410497981157,11888,109,1188204.00,9277,78.04,2.80,1.70
20-March-2017,101.30,101.40,98.00,98.05,98.486666666666666666,750,26,73865.00,521,69.47,3.40,-3.25
17-March-2017,103.45,103.50,99.00,99.50,100.968500948766603415,2635,38,266052.00,2376,90.17,4.50,-3.95
16-March-2017,101.40,104.90,98.70,101.25,101.557614098508811568,4426,142,449494.00,2211,49.95,6.20,-0.15
15-March-2017,99.00,100.70,97.10,99.45,98.989559691330004539,6609,128,654222.00,3952,59.80,3.60,0.45
14-March-2017,105.45,105.45,99.60,101.45,102.639673571876961707,1593,78,163505.00,1179,74.01,5.85,-4.00
10-March-2017,106.00,106.00,102.30,104.10,104.457500306635594259,8153,120,851642.00,3827,46.94,3.70,-1.90
9-March-2017,104.90,108.00,102.25,103.85,105.762303980699638118,16580,324,1753539.00,8824,53.22,5.75,-1.05
8-March-2017,91.70,98.30,87.20,98.30,94.933071938136470075,18363,175,1743256.00,15392,83.82,11.10,6.60
7-March-2017,89.75,92.00,89.30,89.40,90.129585190263969832,2917,85,262908.00,2066,70.83,2.70,-0.35
6-March-2017,90.75,91.85,90.50,90.95,90.911047345767575322,3485,23,316825.00,3458,99.23,1.35,0.20
3-March-2017,95.50,95.50,89.75,90.75,90.487210967873951299,4887,65,442211.00,2705,55.35,5.75,-4.75
2-March-2017,94.95,94.95,91.80,92.45,93.026698147475481293,5506,47,512205.00,3730,67.74,3.15,-2.50
1-March-2017,94.00,94.00,92.00,93.05,93.554426421731483290,5117,72,478718.00,3758,73.44,2.00,-0.95
28-February-2017,98.30,98.30,92.00,93.40,94.433001107419712070,903,29,85273.00,628,69.55,6.30,-4.90
27-February-2017,94.00,96.20,92.50,94.55,94.510537532559791617,4223,82,399118.00,3189,75.52,3.70,0.55
23-February-2017,97.10,97.10,94.00,94.05,94.739481512962175945,2353,40,222922.00,2352,99.96,3.10,-3.05
22-February-2017,95.95,96.50,94.25,94.50,95.366201648700063411,3154,56,300785.00,2571,81.52,2.25,-1.45
21-February-2017,93.40,94.35,90.05,93.05,92.033976746811152500,8859,198,815329.00,3248,36.66,4.30,-0.35
20-February-2017,94.25,98.75,92.20,93.40,94.483356133150934792,6579,158,621606.00,4173,63.43,6.55,-0.85
17-February-2017,96.70,98.25,91.20,97.05,96.236791852323360916,1571,50,151188.00,1110,70.66,7.05,0.35
16-February-2017,99.85,99.90,95.05,97.00,97.340951492537313432,2144,41,208699.00,1872,87.31,4.85,-2.85
15-February-2017,100.60,102.65,94.00,95.35,98.021641898715914009,6931,121,679388.00,4612,66.54,8.65,-5.25
14-February-2017,103.00,104.00,101.00,102.70,102.811094890510948905,3425,73,352128.00,2880,84.09,3.00,-0.30
13-February-2017,104.90,105.50,102.60,102.85,104.142857142857142857,4550,87,473850.00,3205,70.44,2.90,-2.05
10-February-2017,101.55,103.75,101.00,102.35,101.675761421319796954,1576,34,160241.00,1314,83.38,2.75,0.80
9-February-2017,101.35,102.50,101.15,101.50,101.892613636363636363,1760,47,179331.00,1450,82.39,1.35,0.15
8-February-2017,102.95,102.95,101.05,102.10,102.276757880152407343,2887,40,295273.00,1968,68.17,1.90,-0.85
7-February-2017,105.00,105.00,96.65,103.75,102.282451827769407659,12611,61,1289884.00,6695,53.09,8.35,-1.25
6-February-2017,103.05,105.40,101.80,102.35,102.792979759159620804,3903,49,401201.00,2722,69.74,3.60,-0.70
3-February-2017,104.60,105.40,103.00,104.55,104.260982753010087862,3073,26,320394.00,2941,95.70,2.40,-0.05
2-February-2017,107.00,107.00,103.05,105.10,104.738154613466334164,2807,39,294000.00,910,32.42,3.95,-1.90
1-February-2017,100.35,105.20,100.35,104.85,103.371675531914893617,1504,25,155471.00,1164,77.39,4.85,4.50
31-January-2017,103.40,104.80,102.00,102.10,103.081532416502946954,3054,74,314811.00,2448,80.16,2.80,-1.30
30-January-2017,106.00,106.00,104.30,104.95,104.777777777777777777,540,23,56580.00,540,100.00,1.70,-1.05
27-January-2017,106.00,107.00,104.35,105.85,106.081579474844658248,4989,26,529241.00,4486,89.92,2.65,-0.15
25-January-2017,105.00,108.65,103.00,106.75,105.953578915843066786,6678,119,707558.00,5640,84.46,5.65,1.75
24-January-2017,103.10,106.30,103.00,104.85,104.467094703049759229,1869,89,195249.00,1772,94.81,3.30,1.75
23-January-2017,102.50,104.15,102.10,103.05,102.598360655737704918,244,25,25034.00,212,86.89,2.05,0.55
